source_layer,target_layer,source_nodes,target_nodes,edge_count,connection_density,mean,standard_deviation,minimum,median,maximum,positive_fraction
1,2,784,256,200704,1.0,-0.051759141484789245,0.1543200131273349,-1.5775473117828367,-0.029167475178837776,0.7383199334144592,0.37546336894132654
2,3,256,256,65536,1.0,-0.049889617788683394,0.11029318937119977,-1.0125324726104736,-0.04436577670276165,0.6716069579124451,0.3239593505859375
3,4,256,10,2560,1.0,0.0002535842255475984,0.07380339529920643,-0.6005088090896606,0.0004596207436406985,0.5432879328727721,0.50234375
