layer,node_count,listed_count,mean,standard_deviation,minimum,median,maximum,positive_fraction,negative_fraction,zero_fraction
0,784,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,256,256,-0.019833459617984772,0.09791321792862757,-0.38809025287628174,-0.02072928473353386,0.2646682560443878,0.421875,0.578125,0.0
2,256,256,-0.11019384664587051,0.16760674763622835,-0.5507081747055054,-0.12497659027576447,0.4944914877414704,0.1796875,0.8203125,0.0
3,256,256,-0.10569310038681579,0.1989013547017331,-0.9351527094841005,-0.11453833058476448,0.6898735165596008,0.23046875,0.76953125,0.0
4,256,256,-0.10957552356967426,0.198404937134556,-0.9023604393005373,-0.09939136356115341,0.5235784649848938,0.25,0.75,0.0
5,256,256,-0.018687718993533053,0.1582157268701064,-0.2660866975784302,-0.04958143271505833,0.8960787653923034,0.28515625,0.71484375,0.0
6,256,256,-0.09507398419441415,0.24545095653658053,-0.7023833394050598,-0.11934147030115128,0.5730522871017456,0.22265625,0.77734375,0.0
7,10,10,0.08450063951313495,0.025035203641713518,0.0331420861184597,0.09236609190702438,0.11498211324214937,1.0,0.0,0.0
